Volume [mm^3]],Mass [mg],Feret Diameter 1 [mm],Feret Diameter 2 [mm]
0.006466450196991381,0.05858533502489862,0.019436562768056408,0.70064463213088712
0.0093162740353949849,0.01243286221022641,0.95237395997701735,0.26738054140488443
0.0023990321911265258,0.0062641294421109158,0.058978054054975436,0.34515311214384592
0.031995051290632438,0.10041932506352262,0.067034554604845781,0.41824553321489938
0.0075095438766150961,0.0065366022067935136,0.075700345469422434,0.57275538380372859
0.026186740358186727,0.16601521282265008,0.12606929400991432,1.0596984297768195
0.029197597182633431,0.0052897968076282536,0.074409476206077407,0.56561160619767226
0.0072239979024498521,0.022496736581612241,0.038171039654536124,0.22844111897704888
0.0058070836586228847,0.44548707251122555,0.09204680128250467,0.32848200476030037
0.0099417890695591982,0.33488485024318732,0.050520189092800975,0.46901425403789759
0.011359822046222585,0.011682502023297868,0.034011992709476045,0.49299525619332185
0.0044028861154619386,7.1244803687935825,0.046187947399471317,0.46038507202495987
0.0067436076558510675,0.0052742103706090735,0.60086520312292346,0.48800917285878975
0.0090831506015191781,0.12915102880452226,0.033562177387664829,0.54040325462079997
0.0039364868213181223,0.0056495193051904081,0.052384952781249779,0.50515102325396555
0.0072585451491007967,0.054661178021338776,0.1005197353336718,0.31148205059363404
0.00028757770523784183,0.031664613555379653,0.05297007563729194,0.36950691692881532
0.0016308473200847291,0.0068269209966786105,0.24629576919780577,0.47595149393498015
0.04892114148763875,0.012837734673123371,0.25610600065885208,0.70907818052989391
0.014580968661698534,0.01501930337421661,0.22610943524529986,0.59167126956425498
0.02366491288696514,0.25185550329822376,0.071297874776752757,0.8374170616874741
0.0023000353455085985,0.011678032619699536,0.050553563327459992,0.33962469415923585
0.0087441543204778531,0.047211517421182098,0.093516376028202536,0.45759398890573344
0.025012291095522932,0.015971097933634774,0.074184392917570341,0.78495143474535012
0.0022096702746628055,0.061940477320343322,0.12811295503583456,0.64156951325724787
0.010000886496510111,0.001890212396925184,0.028014918617973804,0.31084018241455164
0.0011781739226325841,0.0029088171720975373,0.1837989736667075,0.48844613198357234
0.0045324731312819614,0.011185884617487216,0.61723159831498431,0.65177064858513345
0.004800582955966649,0.22388593899101336,0.41383526349506067,0.30655311875609781
0.013110448501734798,0.050804592822848209,0.0077989178950193146,0.51093929776763802
0.010184238744912567,0.01666841121455068,0.083837643031181935,0.58813172268105063
0.03203976177170352,0.0026955915452035566,0.028126896662905011,1.1649958245159484
0.0071808885689582944,2.2725783078314588,0.026060136593729948,0.65589521508737247
0.0081998436212586956,0.088597806225564291,0.11710061752951428,0.72252916353455365
0.02343251067134524,2.3482434196518076,0.36358717677927194,1.0559012542202728
0.041104039500918135,0.03478489036099483,0.17878337990497536,0.38287836053257712
0.0055919721836189444,0.00329150994444014,0.066095853718621034,0.75045832472800045
0.01844014788378192,0.020245968349417349,0.19969135794840417,0.73605405836674931
0.078197973514227109,0.0087448764510255367,0.099007818613713244,0.44898136240076031
0.00036177739159559886,0.073989994433680276,0.19990802423944401,0.38396665613683956
0.00078120535909237919,0.048026471423059533,0.14755000481820912,0.4976868287991647
0.00062346031350474218,0.32567927710615324,0.19116784299947379,1.8026494312886732
0.055486886408120932,0.91447877508373121,0.29655699427267351,1.1109818264407945
0.0079714214099969889,0.010538493291758228,0.047385681114497556,0.40794344419230594
0.00045232939396018008,0.038363792970846654,0.3494108239657106,0.71167273734612735
0.020406154676047759,0.079087071207095669,0.13851894327963862,0.50703091726389049
0.01172461394628114,0.027398857340932253,0.070134037578118827,1.0672925654922125
0.0074339587766391714,0.00081256769161043606,0.013904966456545003,0.91612252891600043
0.027018100898624466,0.012354642707856864,0.18654161719731166,0.41614728937302675
0.31098612619700811,0.0072638241728475812,0.031839064669941658,1.1571508883483965
0.001916238240403028,0.01815936926332299,0.010362111829541951,0.19096822453706155
0.00040858457968814875,0.16347014732683449,0.043108205398185398,0.6100002138588978
0.0067187044608877384,0.059382398563157621,0.65639904210041711,1.0535229064304863
